time, prompt_length, target_length, cached_length
0, 1, 1, 344
0, 1, 1, 119
0, 1, 1, 145
0, 1, 1, 71
0, 1, 1, 100
0, 1, 1, 275
0, 1, 1, 742
0, 1, 1, 329
0, 1, 1, 283
0, 1, 1, 643
0, 1, 1, 251
0, 1, 1, 181
0, 1, 1, 299
0, 1, 1, 83
0, 1, 1, 475
0, 1, 1, 683
0, 1, 1, 414
0, 1, 1, 184
0, 1, 1, 170
0, 1, 1, 623
0, 1, 1, 186
0, 1, 1, 70
0, 1, 1, 430
0, 1, 1, 76
0, 1, 1, 200
0, 1, 1, 624
0, 1, 1, 77
0, 1, 1, 63
0, 1, 1, 349
0, 1, 1, 272
0, 1, 1, 63
0, 1, 1, 175
0, 1, 1, 249
0, 1, 1, 79
0, 1, 1, 153
0, 1, 1, 67
0, 1, 1, 71
0, 1, 1, 458
0, 1, 1, 63
0, 1, 1, 63
0, 1, 1, 172
0, 1, 1, 80
0, 1, 1, 103
0, 1, 1, 66
0, 1, 1, 640
0, 1, 1, 160
0, 1, 1, 96
0, 1, 1, 86
0, 1, 1, 185
0, 1, 1, 134
0, 1, 1, 63
0, 1, 1, 72
0, 1, 1, 185
0, 1, 1, 139
0, 1, 1, 63
0, 1, 1, 106
0, 1, 1, 63
0, 1, 1, 728
0, 1, 1, 190
0, 1, 1, 468
0, 1, 1, 223
0, 1, 1, 568
0, 1, 1, 103
0, 1, 1, 75
0, 1, 1, 97
0, 1, 1, 692
0, 1, 1, 89
0, 1, 1, 94
0, 1, 1, 192
0, 1, 1, 384
0, 1, 1, 449
0, 1, 1, 239
0, 1, 1, 130
0, 1, 1, 442
0, 1, 1, 611
0, 1, 1, 97
0, 1, 1, 318
0, 1, 1, 332
0, 1, 1, 603
0, 1, 1, 358
0, 1, 1, 91
0, 1, 1, 65
0, 1, 1, 63
0, 1, 1, 713
0, 1, 1, 163
0, 1, 1, 302
0, 1, 1, 165
0, 1, 1, 225
0, 1, 1, 470
0, 1, 1, 605
0, 1, 1, 227
0, 1, 1, 63
0, 1, 1, 186
0, 1, 1, 96
0, 1, 1, 72
0, 1, 1, 168
0, 1, 1, 437
0, 1, 1, 230
0, 1, 1, 197
0, 1, 1, 458
0, 1, 1, 63
0, 1, 1, 142
0, 1, 1, 67
0, 1, 1, 63
0, 1, 1, 688
0, 1, 1, 72
0, 1, 1, 208
0, 1, 1, 109
0, 1, 1, 501
0, 1, 1, 91
0, 1, 1, 408
0, 1, 1, 698
0, 1, 1, 141
0, 1, 1, 119
0, 1, 1, 63
0, 1, 1, 255
0, 1, 1, 130
0, 1, 1, 456
0, 1, 1, 290
0, 1, 1, 596
0, 1, 1, 63
0, 1, 1, 290
0, 1, 1, 396
0, 1, 1, 492
0, 1, 1, 478
0, 1, 1, 255
0, 1, 1, 427
0, 1, 1, 116
